Episode,Steps,TotalReward,Result,Final_X,Final_Y,UnsafeActions,SAP_Plan
1,23,-45.08,Collision,2.26,2.25,0,None
2,39,-51.77,Collision,5.61,2.27,0,None
3,25,-45.51,Collision,5.86,3.34,0,None
4,17,-45.65,Collision,6.71,1.11,0,None
5,34,-47.21,Collision,7.47,3.18,0,None
6,31,-42.79,Collision,4.95,2.7,0,None
7,32,-47.04,Collision,6.2,1.61,0,None
8,27,-52.35,Collision,4.61,1.69,0,None
9,26,-42.61,Collision,2.69,1.55,0,None
10,50,86.74,Goal,11.03,2.93,0,None
11,23,-45.94,Collision,5.93,2.65,0,None
12,33,-47.84,Collision,7.99,1.4,0,None
13,27,-50.01,Collision,5.93,1.18,0,None
14,46,84.91,Goal,11.12,2.82,0,None
15,25,-44.7,Collision,7.89,3.13,0,None
16,23,-41.6,Collision,7.32,2.59,0,None
17,18,-40.04,Collision,6.79,3.71,0,None
18,18,-55.32,Collision,4.64,1.34,0,None
19,34,-48.37,Collision,3.29,1.3,0,None
20,18,-40.65,Collision,6.1,1.34,0,None
21,45,100.1,Goal,10.98,3.11,0,None
22,40,98.57,Goal,10.72,2.98,0,None
23,37,90.21,Goal,10.74,3.06,0,None
24,48,88.91,Goal,10.86,3.16,0,None
25,51,94.29,Goal,11.11,2.9,0,None
26,30,94.8,Goal,11.19,2.77,0,None
27,42,84.36,Goal,10.87,3.07,0,None
28,30,-47.87,Collision,8.72,3.7,0,None
29,42,93.18,Goal,10.95,3.09,0,None
30,55,89.7,Goal,10.86,3.05,0,None
31,55,85.83,Goal,11.19,3.14,0,None
32,28,-42.47,Collision,8.77,1.31,0,None
33,19,-45.1,Collision,3.13,1.68,0,None
34,36,97.92,Goal,10.71,2.8,0,None
35,29,98.56,Goal,11.1,2.95,0,None
36,49,83.12,Goal,11.05,3.0,0,None
37,36,88.17,Goal,10.97,2.88,0,None
38,46,84.02,Goal,11.06,2.97,0,None
39,46,93.05,Goal,11.04,2.83,0,None
40,39,94.55,Goal,11.01,3.01,0,None
41,37,91.04,Goal,11.02,3.09,0,None
42,24,-42.47,Collision,5.25,2.48,0,None
43,40,89.77,Goal,10.95,3.14,0,None
44,48,83.54,Goal,11.21,2.62,0,None
45,54,88.84,Goal,10.95,3.17,0,None
46,44,96.77,Goal,11.1,3.07,0,None
47,47,93.94,Goal,10.85,2.88,0,None
48,35,92.63,Goal,10.72,2.62,0,None
49,51,82.65,Goal,11.14,3.14,0,None
50,57,86.95,Goal,10.94,3.25,0,None
51,45,97.9,Goal,11.12,2.81,0,None
52,37,99.16,Goal,11.21,2.9,0,None
53,41,95.64,Goal,10.89,3.02,0,None
54,36,92.02,Goal,10.91,3.03,0,None
55,36,90.93,Goal,11.02,3.03,0,None
56,37,97.95,Goal,10.96,3.03,0,None
57,49,84.65,Goal,11.02,2.86,0,None
58,38,102.66,Goal,11.14,2.96,0,None
59,43,96.46,Goal,10.86,2.87,0,None
60,38,91.16,Goal,10.98,3.09,0,None
61,40,93.56,Goal,11.19,3.02,0,None
62,32,90.83,Goal,11.14,3.13,0,None
63,35,94.69,Goal,11.14,2.91,0,None
64,44,97.42,Goal,10.9,2.78,0,None
65,43,100.19,Goal,11.02,2.83,0,None
66,45,94.75,Goal,11.08,2.96,0,None
67,50,80.54,Goal,11.07,2.91,0,None
68,56,89.54,Goal,10.91,3.26,0,None
69,41,95.57,Goal,11.17,2.98,0,None
70,34,94.71,Goal,11.11,2.96,0,None
71,42,96.84,Goal,10.84,2.99,0,None
72,53,84.08,Goal,11.11,2.81,0,None
73,37,97.87,Goal,11.21,2.92,0,None
74,37,94.73,Goal,10.95,3.04,0,None
75,41,95.65,Goal,10.99,3.22,0,None
76,44,101.76,Goal,11.21,2.94,0,None
77,48,92.18,Goal,10.78,2.87,0,None
78,47,89.3,Goal,10.78,2.87,0,None
79,45,88.33,Goal,11.11,2.84,0,None
80,28,97.7,Goal,10.95,3.05,0,None
